GOterm,term,Pvalue,NoGOsize,cluster,entrez
11,GO:1901605,alpha-amino acid metabolic process,7.21e-21,66;188,C_1_GSE62232,131669;137362;875;441024;6777;6898;7299;374569;38;27165;2572;169355;26227;4942;4522;4594;2639;1036;8942;435;2731;9945;23464;3081;8564;1638;2690;4846;23498;10993;4143;6999;443;1491;635;383;2875;570;10249;189;445;10400;2805;1312;23576;2954;6470;27232;10157;58510;55256;4482;23569;51557;10841;51702;29968;51268;51166;84706;144193;130013;29958;112817;420;9971
12,GO:0044712,single-organism catabolic process,1.26e-20,166;803,C_1_GSE62232,1548;32;79660;131669;285848;875;51302;1579;6898;84570;5337;374569;119548;38;27165;221;2572;169355;10891;9611;1892;217;847;6652;4942;4860;5236;10449;30;35;10613;34;3155;4594;5264;2639;178;3712;5142;412;2167;5138;1036;8310;4329;8942;2027;435;1806;229;2731;2028;222;2819;3029;316;23464;3081;1962;8564;36;8309;2110;4846;978;23498;10993;5053;1543;11001;4143;6999;1576;443;1807;33;1491;154;383;5444;1592;4051;66002;2875;344;337;6716;189;6718;339;5260;11181;1544;863;2805;23576;5860;9902;18;2954;3479;11145;39;2203;8228;6470;7498;8529;594;1374;10157;11343;622;8622;5446;51099;10690;9509;51422;5322;58510;54979;51181;56898;55268;1486;51171;9388;55753;55512;57733;54363;51733;56547;10841;50940;30814;57406;51268;129807;51166;127;116519;84706;55276;219743;152926;55526;414328;51;144193;27115;130013;131873;554235;151531;1629;83875;80339;136227;113026;166785;112817;5141;3356;26007
13,GO:0055114,oxidation-reduction process,3.17e-20,183;930,C_1_GSE62232,1571;1548;32;23210;79660;875;51302;1579;441024;5743;7299;64399;1356;130752;38;84269;221;169355;10891;1892;9380;26227;217;847;10765;6652;5236;10449;30;4522;35;3481;34;5106;5264;2639;26;178;3712;4129;23166;1036;8310;5507;4329;2027;1806;6715;229;3294;2731;222;2819;1573;316;9945;3081;1962;8864;8564;1638;36;8424;8309;3290;5502;2110;2395;4846;23498;8630;5053;5443;1543;11001;6999;1576;33;126;1592;1621;22977;4051;66002;8608;1555;337;6716;6718;3953;5260;9420;1564;130;1544;1549;64816;124;6622;1572;8013;863;1562;5740;1558;1553;5860;3479;39;125;1757;5959;7498;27232;8529;2642;594;1374;10157;6309;622;115817;84869;1723;1577;1559;5161;2998;51422;1557;58510;2194;2778;55256;51181;56898;55240;55268;55214;23417;55022;51171;55753;4482;64359;79831;55576;64577;79689;54363;10826;51179;81577;4160;51268;54996;59344;51741;127;84649;5166;55276;219743;285440;254295;284273;55526;260293;51;2327;283208;197257;554235;389434;79758;29958;4717;83875;1582;26074;10495;199974;48
14,GO:0016053,organic acid biosynthetic process,1.71e-19,77;256,C_1_GSE62232,32;137362;875;51302;10003;441024;5743;374569;27165;26227;4942;4522;10613;5947;1036;8942;6770;435;1806;8864;8564;8309;2687;23498;10993;5053;1543;11001;2346;6296;443;33;1491;635;552;2875;344;337;570;189;445;6718;9420;5740;2805;18;51141;6470;5354;9104;11343;219595;6309;84869;51422;5322;2194;4644;55256;23417;10998;23569;64577;51557;51733;10826;51702;29968;59344;116519;84706;5166;9444;130013;1582;112817;9971
15,GO:0044699,single-organism process,1.73e-19,1335;12034,C_1_GSE62232,1571;1548;283375;220136;64072;11318;23704;130399;137994;282616;32;23210;9064;79660;59350;137735;130951;219793;170850;165082;114771;135644;84873;122042;6571;131669;285848;84879;246213;5075;121391;259287;7069;220441;153020;124783;121599;2849;137362;122876;875;51302;245973;8671;159989;149685;29119;25819;7439;10003;118442;9711;114299;3788;114769;90102;1579;441024;55816;23387;5923;5743;132141;143425;9938;6777;64081;6898;22849;84570;26027;8633;55089;93986;54937;151242;7299;171483;56203;54777;9622;974;4340;93010;160897;64399;9455;23181;27068;81573;6546;729993;1821;5337;84239;374569;1356;130752;80034;126755;654429;8876;84690;84913;119548;54875;339390;38;2220;4050;100130958;694;7171;3681;2070;5890;80005;344905;1776;9204;114817;6150;84270;348980;84269;55604;201625;2160;23263;256764;401124;480;142685;27165;4588;221;23105;346389;26188;282775;26219;138804;89797;25981;7694;2572;169355;441549;388591;221336;649;24;153642;10891;2893;2920;5547;30818;283209;140894;647309;23266;64788;161357;1979;9611;1843;7057;1892;8553;6513;633;2114;9380;26227;217;847;6009;3725;3487;7538;2273;10765;6652;3398;4942;1958;4860;929;1634;2180;5236;4651;10449;30;6422;6385;9414;4061;4837;7102;2633;4070;4522;5520;3164;35;10409;3481;6256;10613;5118;6515;34;5604;558;2308;3155;5106;5187;290;6279;1652;4594;10144;5156;5264;23362;8835;2591;6304;5947;4311;256364;11309;1969;2639;6653;687;920;26;9638;178;10974;379;6817;22837;6387;5577;3712;5142;1647;360;3727;4680;412;7164;10247;4065;1756;7056;8504;2167;3039;1952;1902;4129;6351;132;10912;5138;23166;1036;5783;5549;2643;8310;1910;5507;4329;8842;482;4501;8942;3047;8061;3931;4360;8321;2027;9620;23541;6770;3897;3158;435;4929;7033;1806;6715;229;10351;7049;4495;3131;2775;4291;11326;4092;2009;3294;2731;2028;8379;4255;6943;4982;222;8406;1263;5217;2819;22809;3029;7039;7433;1949;1667;10020;1080;2568;27239;1573;5345;316;1230;9945;50649;6348;2357;10090;283;1463;23464;101;3569;3081;1962;2099;3556;7957;8864;3484;8564;3798;51308;5816;1638;36;185;8424;8309;1675;5348;6358;3290;653;590;4886;5617;1602;5502;2707;10570;2690;6947;2626;8418;2110;23708;4488;671;2395;4846;2687;22915;978;211;577;5521;7472;2243;23498;7140;10993;2674;8630;683;5053;5443;10178;1543;2147;11001;2161;5650;912;8631;4143;1620;8685;4804;2346;6283;8547;3977;5979;415;3848;5745;2294;6296;6999;759;3777;1504;1393;1576;10216;443;1825;6539;1807;33;8997;1491;7146;8786;6431;635;4163;9355;6861;154;3598;383;1041;1071;7480;3780;4326;552;126;3700;6000;866;1013;1995;5444;9211;28234;9021;5199;288;8431;1259;1592;3037;6406;1621;57447;6010;660;22977;9229;4051;66002;3818;6595;3641;6517;8809;6523;5732;922;7010;4908;2875;4004;22865;7481;344;8608;1555;4803;26206;414;3045;173;10633;2045;10990;2646;2815;337;570;10249;7700;6716;5457;364;189;7143;9970;3579;8852;57165;114548;445;4974;6291;6718;4058;3768;2015;6799;4796;1010;339;774;9398;6540;6554;1018;6580;8856;9099;944;2158;7367;9153;3953;4153;319;10786;2911;6579;5260;6453;10566;3166;11181;8993;9420;3950;10803;11281;6425;80168;1564;9173;130;2917;6915;9154;4616;5020;4018;353189;1544;10400;6542;4593;29760;3889;5992;1549;64816;3824;124;2260;6622;11126;23544;10877;51350;1572;7783;3441;8013;2104;10332;5990;8858;4607;863;81696;1562;5740;5670;1558;2196;10235;3444;4210;9248;1553;1827;778;4887;5105;2740;5764;5470;3449;2912;4544;2797;26538;151;10060;6336;59347;2805;1312;23710;3397;7095;11170;23576;3043;123;5860;2353;10979;688;5178;7980;9902;760;563;80303;8613;10370;1893;2053;306;3507;5104;23345;1847;18;2823;2954;3479;8542;51141;11145;6818;39;125;7276;2203;4824;23169;9429;8228;90865;4091;9378;816;3082;1390;5340;6470;429;2627;3263;1757;7348;3486;20;2534;5959;729;3769;5354;7036;9628;7498;27232;5023;9362;8538;6007;8529;166647;9590;26998;658;6368;2642;594;10555;1374;2038;9104;2047;2358;4928;2002;10157;2213;7525;3651;10402;825;2334;7080;11343;3755;27130;8532;11027;6795;65123;8820;219595;8913;5275;4613;9103;6309;23766;1826;148;5600;1395;10982;6457;367;54490;3811;83942;622;4261;5329;388;23516;4502;375790;22998;2036;10611;9052;23111;2006;390;30849;23500;4684;23024;6526;1052;23150;1805;57211;815;7074;460;8622;5222;115817;25945;5789;25803;8153;23254;3622;84869;1723;27124;54463;6505;5446;26033;10123;5813;6929;80765;10215;10730;3752;5267;2012;23086;51099;4916;10690;7018;4978;5473;57134;4927;6441;135138;1577;23321;1559;7021;9509;7032;6694;5161;2248;3853;2998;5008;27163;57795;213;9940;1759;10440;51422;63982;645961;1768;26648;11221;9077;26108;2558;3483;249;5655;6006;5322;1739;1557;8434;8871;22999;6642;23305;6347;23428;7148;58510;57336;54979;5137;10529;11155;9537;23383;3662;2194;2778;27445;10297;5787;4586;3493;10824;55811;4644;7073;1406;6569;7477;5587;10135;55256;51181;9547;51660;56944;50861;25987;56898;114885;51703;94081;55240;56892;55268;26499;55214;56034;29763;23417;57088;59307;1486;64284;30845;51316;10894;54829;55022;51171;57161;54981;9388;23408;28992;55224;23554;55753;4482;2055;55664;64762;58189;64359;27087;55244;54923;25837;3773;8645;844;55211;79412;55512;10998;5101;23493;23414;29992;28968;51191;78989;79698;25858;9427;117247;6783;57733;56606;23569;53829;10716;55359;54988;79831;29881;9630;55576;3781;27019;29947;64577;54566;79689;11093;23615;54363;9227;79930;51554;64922;51557;10164;9464;57817;51266;51733;23418;56547;10343;10841;51348;11141;11173;80157;80704;10826;54766;51702;64388;51179;23566;29968;59335;114897;81624;64850;51129;81577;56155;50940;2658;59340;27141;55118;1154;59067;55507;442194;1133;2693;2895;4825;8822;30814;50837;4159;3355;4160;83716;57406;3778;51268;54996;51151;54869;83696;93436;4915;84619;57502;1191;1040;2940;347902;26084;9510;55357;25818;8945;59344;64285;64093;53832;51393;408;129807;84231;6423;59277;83643;25890;6860;51166;55600;84417;140;55363;51741;127;57393;114880;83890;2103;83893;83854;51384;11280;89822;22953;51305;56832;79148;27177;116519;84649;9068;7099;84803;80832;80333;54206;1073;84706;5166;55276;6506;64651;8828;27031;171024;124936;22822;219743;57600;4131;6443;51175;3696;361;122953;80031;5802;142678;53354;284439;285440;152926;286410;254295;57633;133584;284273;55526;1272;3680;1840;285704;202018;220963;23363;29842;260293;285195;84141;414328;51;65083;320;4629;111;84870;158326;155465;2327;91614;1600;57569;375775;149603;80309;3500;9444;53833;5099;116844;283208;2977;115330;129446;84620;154810;90525;1740;814;58473;152330;197257;54756;57549;153;132671;3400;132014;54502;9037;257194;8543;11227;6926;161247;392617;120892;144193;147372;9031;22924;5067;286133;202374;83394;11076;27115;494470;10081;10317;5686;92304;57452;54897;6913;53637;123876;130013;9481;55366;81027;3736;131873;55890;554235;341640;6656;342979;170302;389434;199920;283129;54207;57828;79758;151531;29958;85438;130120;9290;1629;2788;107;4717;84189;57689;85413;54511;4685;57732;83875;1582;84466;341019;287;79092;60675;56154;219527;54768;80339;90167;3760;345895;117285;26074;53345;166824;200162;113235;136227;10495;54716;84168;51399;104;192683;11148;283160;91584;113026;253559;50859;404037;221937;8676;4336;64805;133688;6706;84530;1317;3753;8110;57545;23639;55997;374868;221044;6899;101927581;84676;257062;200373;4147;119;199974;132954;48;80014;51666;10160;166785;4838;285016;134526;352999;6655;95;79064;112817;143162;3772;1002;7098;57053;151742;842;140679;7037;55876;145645;11167;116337;23322;124857;27022;5314;84106;168667;94122;23386;56478;5141;420;283629;140732;4810;5272;114770;166929;388581;79054;84953;130271;56853;260434;9971;5597;3356;1378;100144748;26007;5170;9899;160762;63827
16,GO:0044283,small molecule biosynthetic process,1.01e-18,111;466,C_1_GSE62232,32;137362;875;51302;10003;441024;5743;374569;38;27165;10891;26227;6652;4942;1958;4860;5236;10449;4522;10613;2308;3155;5106;5947;1036;8942;2027;23541;6770;3158;435;1806;229;2819;1080;3569;8864;8564;8309;653;2687;23498;10993;5053;1543;11001;2346;5745;6296;1576;443;33;1491;635;552;1621;2875;344;337;570;189;445;6718;3953;9420;6622;5740;5105;2805;18;51141;2203;6470;5354;27232;9104;11343;219595;6309;622;84869;51422;5322;2194;4644;55256;56898;23417;23408;10998;23569;29881;64577;51557;51733;10826;51702;29968;59344;116519;84649;84706;5166;9444;130013;54511;1582;166785;112817;388581;9971
17,GO:0006629,lipid metabolic process,1.06e-18,223;1258,C_1_GSE62232,1571;1548;32;285848;7069;51302;9711;1579;5743;6777;26027;5337;374569;119548;38;221;24;153642;10891;64788;9611;1892;847;3398;1958;2180;10449;30;6385;35;6256;10613;34;3155;4594;5156;5264;5947;2639;6653;6817;5577;3712;412;2167;8310;3931;23541;6770;3158;6715;3294;222;2819;1080;1573;283;1962;8864;36;185;8309;3290;653;2690;2110;2687;8630;1543;2147;11001;415;6296;1576;33;154;1071;7480;552;866;5444;28234;8431;1592;6010;4051;66002;7010;344;8608;1555;414;337;570;6716;6718;6799;339;8856;7367;3953;319;6579;9420;80168;4018;1544;10400;1549;2260;6622;1572;8013;1562;5740;1558;1553;5105;8613;2053;8542;51141;11145;6818;39;7276;8228;1390;2627;20;2534;5959;5354;5023;9362;8529;10555;1374;9104;10402;7080;11343;6309;5329;375790;30849;84869;27124;80765;51099;1577;1559;2248;27163;51422;5322;1557;8871;23305;54979;2194;4644;5587;56898;51703;55268;23417;51171;9388;55224;2055;55512;10998;6783;57733;54988;29881;64577;54363;9227;80157;10826;51179;64850;1133;2693;8822;30814;57406;1191;1040;59344;129807;83643;51741;127;116519;84649;84803;80832;5166;27031;219743;3696;285440;29842;51;375775;9444;161247;83394;123876;83875;1582;80339;53345;113026;166785;134526;151742;166929;9971;3356
18,GO:0006631,fatty acid metabolic process,4.77e-18,90;345,C_1_GSE62232,1571;1548;32;1579;5743;6777;26027;38;10891;1892;2180;10449;30;35;10613;34;4594;5264;2639;5577;3712;8310;1573;1962;8864;36;8309;2690;2110;2687;1543;11001;6296;33;552;4051;66002;344;1555;337;570;1544;1549;6622;1572;8013;1562;5740;1558;1553;2053;51141;39;1390;5354;8529;1374;9104;11343;6309;84869;51099;1559;51422;5322;1557;23305;2194;4644;56898;51703;55268;23417;10998;54988;54363;10826;51179;2693;59344;116519;84649;5166;219743;285440;51;9444;123876;166785;134526
19,GO:1901606,alpha-amino acid catabolic process,7.43e-17,35;72,C_1_GSE62232,875;6898;374569;38;27165;2572;169355;4942;2639;8942;435;2731;23464;3081;8564;4846;23498;10993;4143;6999;443;383;2875;189;2805;23576;2954;6470;10157;58510;51268;51166;84706;130013;112817
20,GO:0046394,carboxylic acid biosynthetic process,9.96e-17,70;243,C_1_GSE62232,32;137362;875;51302;10003;441024;5743;374569;27165;26227;4942;4522;10613;5947;8942;6770;435;8864;8564;8309;2687;23498;10993;5053;11001;2346;6296;443;33;1491;635;552;2875;344;337;570;189;445;6718;9420;5740;2805;18;51141;6470;5354;9104;11343;219595;6309;84869;51422;5322;2194;4644;55256;23417;10998;51557;10826;29968;59344;116519;84706;5166;9444;130013;1582;112817;9971
21,GO:0019373,epoxygenase P450 pathway,1.50e-16,17;18,C_1_GSE62232,1571;1548;1579;1573;1543;66002;1555;1544;1549;1572;1562;1558;1553;2053;8529;1559;1557
22,GO:0008202,steroid metabolic process,2.63e-16,74;270,C_1_GSE62232,1571;1548;51302;6777;10891;64788;847;1958;10449;30;6256;10613;6653;6817;412;3931;23541;6770;3158;6715;3294;1080;185;8309;3290;653;8630;1543;11001;1576;33;1071;866;5444;28234;8431;1555;337;570;6716;6718;6799;8856;7367;3953;319;6579;9420;1544;2260;1558;2053;8542;51141;6818;6309;80765;1577;1559;51422;1557;51171;2055;10998;6783;29881;10826;51741;116519;84649;285440;29842;1582;9971
